Company Name,Registration code,VAT,Manager,Address,Website,Work hours,SS insurer code,Transport,Authorized capital,Company age,Employees,Average salary,Social insurance taxes,Sales revenue From,Sales revenue To,Rating,No. Rated,Category,Other Categories,Facebook
"Finwise LT, UAB",303071977,LT100010238815,Olga Rychter,"Savanorių pr. 178-309, LT-03154 Vilnius",http://www.finwise.lt,I-V 08.00-17.00,2218645,2021-01: 1 car (uses),"2,896.00 €",7 years 9 months 4 days,4,626.25 € (2021-01),583.34 € (2021-01),100001,"200000
																",8.8,162,Accounting services,[],https://www.facebook.com/buhalterine.apskaita.vilniuje
"Dekvota, UAB",141658768 (old code 4165876),LT100003080411,"Tatjana Kosmačiova, direktorė","Gedviliškės g. 5, LT-92286 Klaipėda",http://www.dekvota.lt,I-V 08:00-18:00,347406,2021-01: 2 cars (owns),"2,896.00 €",22 years 11 months 2 days,3,"1,253.68 € (2021-01)","1,175.97 € (2021-01)",100001,"200000
																",4.8,20,Accounting services,[],
"Findir Consulting, UAB",300621191,LT100002795510,Mindaugas Dabulis,"Ulonų g. 5, LT-08240 Vilnius",http://www.findir.lt,I-V 09.00-17.00,777263,"2021-01: 3 cars (1 owns, 2 uses)","2,896.00 €",14 years 3 months 2 days,9,"2,105.56 € (2021-01)","3,162.67 € (2021-01)",300001,"500000
																",6.5,53,Accounting services,[],
"UAB ""Gisera""",300597420,LT100002928314,Sigita Kumpikienė,"Savanorių pr. 360-28, LT-49383 Kaunas",http://www.gisera.lt,,848126,2021-01: 2 cars (uses),"2,896.00 €",14 years 5 months 23 days,14,"1,702.48 € (2021-01)","4,034.96 € (2021-01)",300001,"500000
																",5.1,60,Accounting services,[],
"Spinoza, UAB",302841268,,"Rūta de Chambonas, direktorė","Juozapavičiaus g. 9-410, LT-03234 Vilnius",http://www.orixel.com,"I-V, 9-19",2176046,,"2,896.00 €",8 years 6 months 16 days,3,,,20001,"30000
																",8.8,46,Accounting services,[],
"Visi Apskaitos Sprendimai, UAB",300607430,LT100002852310,"Rita Kapočienė, direktorė","Kęstučio g. 37, LT-08121 Vilnius",http://www.vasjums.lt,I-V 09.00-17.00,775577,2021-01: 1 car (owns),"2,896.20 €",14 years 4 months 16 days,8,797.02 € (2021-01),"1,264.95 € (2021-01)",200001,"300000
																",4.4,45,Accounting services,[],
"ACL, MB",125336757,LT253367515,"Renata Ivaškevičiūtė, direktorė","Bendorėlių 2-oji al. 8, Bendoriai, LT-14196 Vilniaus r.",http://www.gerosbuhalteres.lt,I-V 08.00-17.00,62573,"2021-01: 3 cars (2 owns, 1 uses)",,20 years 7 months 1 day,3,,,200001,"300000
																",5.0,57,Accounting services,[],
"Margrupė, UAB",304430995,LT100010587015,"Marytė Kalvaitienė, direktorė","Leičių g. 11-134, LT-12109 Vilnius",http://www.margrupe.lt,8-17,2882313,2021-01: 1 car (owns),"2,500.00 €",4 years 2 months 25 days,5,690.19 € (2021-01),645.07 € (2021-01),30001,"50000
																",5.4,24,Accounting services,[],
"Konjūra, UAB",304256391,LT100010189510,Jūratė Pakeltytė-Varnienė,"Gebenių g. 47, LT-46326 Kaunas",http://www.konjura.lt,,2746391,2021-01: 1 car (owns),"2,500.00 €",4 years 9 months 16 days,4,289.00 € (2021-01),275.96 € (2021-01),100001,"200000
																",9.4,5,Accounting services,[],
"Offerens, UAB",304474447,LT100010767215,"Olegas Fominas, direktorius","K. Donelaičio g. 70B, LT-44248 Kaunas",http://www.offerens.lt,,2939801,,"10,000.00 €",3 years 11 months 26 days,3,,,50001,"100000
																",5.9,201,Accounting services,[],
"Euromanai, UAB",304505889,LT100012026719,Dainora Mangirdaitė,"Putinų g. 10-56, LT-76209 Šiauliai",http://www.euromanai.lt,I-V 09.00-17.00,2954235,,"2,500.00 €",3 years 10 months 18 days,3,,,20001,"30000
																",9.1,20,Accounting services,[],https://www.facebook.com/Euromanai/
"MB ""Kodralita""",304157347,LT100013600618,Direktorė Drąsutė Koškina,"Islandijos pl. 107-45, LT-49180 Kaunas",http://kodralita.lt,08:00-20:00 (nuotolinis darbas),2395107,,,5 years 1 month 27 days,3,,,30001,"50000
																",8.8,1378,Accounting services,[],https://www.facebook.com/kodralita/
"Apskaita ir finansai, UAB",300845595,LT100009151417,"Laima Slavinskienė, direktorė","Beržų g. 34, Plikiai, LT-96232 Klaipėdos r.",http://www.apskaita-finansai-teise.lt,,837551,,"2,900.00 €",13 years 9 months 9 days,2,,,20001,"30000
																",4.7,17,Accounting services,[],
"Dvigubas įrašas apskaita, UAB",301841938,LT100004242013,"Lolita Jucaitienė, direktorė","Vasario 16-osios g. 10-48, LT-68301 Marijampolė",,,2000168,2021-01: 2 cars (owns),"2,896.00 €",12 years 6 months 10 days,9,"1,163.06 € (2021-01)","1,810.94 € (2021-01)",200001,"300000
																",3.8,121,Accounting services,[],
"Imfina, UAB",304177225,LT100009957619,"Irma Maruškienė, direktorė","Vilniaus g. 31, LT-01402 Vilnius",http://www.imfina.lt,I-V: 8.00-17.00,2429406,,"2,600.00 €",5 years 18 days,4,900.00 € (2021-01),800.83 € (2021-01),20001,"30000
																",9.2,37,Accounting services,[],https://www.facebook.com/imfina
"Integre, UAB",300622489,LT100002803012,Žana Kel,"Sporto g. 18, LT-09238 Vilnius",http://www.integre.lt,I-V 08.00-17.00,777536,2021-01: 2 cars (uses),"17,376.00 €",14 years 2 months 27 days,73,"1,737.81 € (2021-01)","22,613.05 € (2021-01)",1000001,"2000000
																",4.5,156,Accounting services,[],
"Verslolita, MB",304018358,,Lina Lenkaitienė,"Stasio Lozoraičio g. 3B-54, Garliava, LT-53221 Kauno r.",https://www.verslolita.lt,,2327941,,,5 years 10 months 23 days,1,,,20001,"30000
																",10.0,120,Accounting services,[],
"Finotika, UAB",268972160,LT100002174216,Violeta Pilvelienė,"Gedimino pr. 20-36, LT-01103 Vilnius",https://finotika.business.site,,230867,,"2,896.00 €",18 years 2 months 21 day,3,,,50001,"100000
																",8.9,13,Accounting services,[],
"Profinas, UAB",303159078,LT100009786614,"Lijana Lusienė, direktorė","Konstitucijos pr. 26, LT-08105 Vilnius",http://www.profinas.lt,9-18,2240246,,"2,896.00 €",7 years 4 months 29 days,9,"1,116.44 € (2021-01)","1,852.98 € (2021-01)",200001,"300000
																",7.1,72,Accounting services,[],https://www.facebook.com/profinas.lt/?fref=ts
"Apskaitos ir Verslo Sprendimų Biuras, UAB",300659683,LT100002992114,Virginija Macijauskaitė,"Buivydiškių g. 12A-100, LT-07194 Vilnius",http://www.avsb.lt,I-V 09.00-18.00,844317,2021-01: 1 car (uses),"5,792.00 €",13 years 11 months 17 days,2,,,30001,"50000
																",6.5,20,Accounting services,[],
Contus Okonomi AS filialas,303483048,LT100009053518,Marius Buivydas,"Žemaitės g. 21, LT-03118 Vilnius",http://www.contus.no,9.00-18.00,2311145,,,6 years 2 months 24 days,7,"3,077.28 € (2021-01)","3,734.29 € (2021-01)",500001,"1000000
																",7.8,20,Accounting services,[],https://www.facebook.com/contus.no/
"Skaitmeninė buhalterija, MB",304872369,,"Jurgita Keblienė, direktorė","Raudondvario pl. 188-15, LT-47149 Kaunas",http://www.skbu.lt,9-17,,,,2 years 7 months 23 days,,,,0,"5000
																",10.0,2,Accounting services,[],https://www.facebook.com/skaitmenine.buhalterija.1
"UAB ""Versluma""",302728466,LT100011370710,"Natalija Gudaitienė, direktorė","Justiniškių g. 62A-214, LT-05239 Vilnius",,10-18,2144668,2021-01: 1 car (owns),"2,896.00 €",9 years 10 days,3,,,50001,"100000
																",5.6,27,Accounting services,[],
"Virtualus buhalteris, MB",305416190,,"Nadežda Akmanova, direktorė","Noragiškių g. 33, LT-08410 Vilnius",https://www.virtualusbuhalteris.lt,,,,,1 year 1 month 26 days,,,,,,3.4,16,Accounting services,[],https://www.facebook.com/virtualusbuhalteris
"Apskaita ir mokesčiai, UAB",302532898,LT100011047413,Natalija Moseiko,"Guobų g. 3, Bukiškis, LT-14182 Vilniaus r.",http://www.airm.lt,,2063365,2021-01: 1 car (owns),"2,896.00 €",10 years 7 months 3 days,1,,,30001,"50000
																",6.7,23,Accounting services,[],
"UAB ""Aspekta""",301791129,LT100005859819,"Jurijus Glinevičius, direktorius","Kaštonų g. 12-2, Avižienių k., LT-14185 Vilniaus r.",http://www.aspekta.lt,,1004848,2021-01: 1 car (uses),"2,900.00 €",12 years 7 months 24 days,3,,,50001,"100000
																",8.0,23,Accounting services,[],
Contus Ekonomi AB filialas,303965952,LT100009481519,Marius Buivydas,"Žemaitės g. 21, LT-03118 Vilnius",http://www.contus-accounting.se,9.00-18.00,2326617,,,5 years 11 months 2 days,4,"2,050.13 € (2021-01)","1,905.90 € (2021-01)",200001,"300000
																",7.6,19,Accounting services,[],https://www.facebook.com/contus.se/
"Finaida, MB",305610010,LT100013367115,Lina Stasiulytė,"Sodo g. 11, Kairiai, LT-80113 Šiaulių r.",http://www.finaida.lt,"I-V 8:17, VI 10:00-14",3733885,,,6 months 8 days,1,,,,,,,Accounting services,[],https://www.facebook.com/Finaida-MB-apskaitos-paslaugos-105183571349634/
"Finsana, MB",303292616,,"Sandra Zybartienė, direktorė","Vatušių g. 39, LT-90309 Rietavas",http://www.finsana.lt,I-V 8-17 val.,2271691,,,6 years 10 months 14 days,2,,,20001,"30000
																",7.1,16,Accounting services,[],https://www.facebook.com/Finsana-1503920263199256
"Inovatyvūs partneriai, UAB",304932909,LT100011931313,"Andrius Rimgaila, direktorius","Tilžės g. 60, LT-91108 Klaipėda",http://www.i-partneriai.lt,,3339207,,"2,500.00 €",2 years 4 months 21 day,11,"1,838.25 € (2021-01)","3,770.88 € (2021-01)",300001,"500000
																",8.0,3,Accounting services,[],
"Verslidėja, MB",304412463,LT100010485315,"Virginija Čepienė, direktorė","Panevėžio g. 18-39, LT-42162 Rokiškis",http://www.verslideja.lt,,2848309,,,4 years 4 months 15 days,4,596.44 € (2021-01),553.52 € (2021-01),30001,"50000
																",6.0,14,Accounting services,[],
"UAB ""VIPIN""",302656821,,"Vladislavas Zaborovskis, direktorius","Žemaitės g. 22-3, LT-03201 Vilnius",http://vipin.lt,I-V  9.00 - 17.00,2120459,2021-01: 1 car (uses),"2,896.00 €",9 years 6 months 14 days,2,,,30001,"50000
																",3.4,8,Accounting services,[],
"ADT apskaita, UAB",303970853,LT100011856817,Dangira Čiuknienė,"Vasario 16-osios g. 33-6, LT-76350 Šiauliai",http://www.adtapskaita.lt,8-17,2326358,,"2,500.00 €",5 years 11 months 6 days,8,"1,143.50 € (2021-01)","1,637.19 € (2021-01)",50001,"100000
																",8.1,23,Accounting services,[],
"UAB ""Apskaitos dirbtuvės""",300621622,LT100011968817,Direktorė Jurgita Lengvinienė,"Naujakiemio g. 27-60, LT-94204 Klaipėda",http://www.apskaitosdirbtuves.lt,9.00 - 17.00,869663,2021-01: 2 cars (owns),"5,792.00 €",14 years 3 months,4,643.37 € (2021-01),622.66 € (2021-01),30001,"50000
																",9.0,8,Accounting services,[],
"Arfina, UAB",302589714,,Arūnas Časas,"Perkūnkiemio g. 12-62, LT-12113 Vilnius",http://www.arfina.lt,9-18 val.,2091987,2021-01: 1 car (owns),"2,896.20 €",10 years 26 days,2,,,20001,"30000
																",7.4,11,Accounting services,[],
"Elante, UAB",302347579,,"Aldona Petkūnienė, direktorė","Papilėnų g. 15-49, LT-06222 Vilnius",http://www.elante.lt,,2019824,,"2,896.00 €",11 years 8 months 23 days,3,,,10001,"20000
																",7.8,29,Accounting services,[],
"Finfox, UAB",302279530,LT100004450915,"Violeta Rimkutė, direktorius","Trinapolio g. 9A-36, LT-08337 Vilnius",http://www.finfox.lt,,2003932,"2021-01: 2 cars (1 owns, 1 uses)","2,896.00 €",12 years 2 months 21 day,3,,,50001,"100000
																",8.0,7,Accounting services,[],
